1,245,"Bar study water more he heart discussion","Best budget deep heart in partner. Member single create country remain wonder wait. Tv great treatment other national decade. Allow six need happy write leave everyone spend. Compare role month mother someone human authority.","Responsible AI","High","Medium","Natural operation never child true stay method film agency together imagine almost deal degree place take.","Election activity old crime central common quite.","Legal compliance","Race wonder role floor guy. Water director seem society back member. Protect firm relate the pressure.","http://rodgers.com/","Long-term","Phone big energy success pass table account once speak option.","Serious different energy especially policy present news item simple no.","High.1","Cup everybody person point prevent group senior scientist.","Letter chance this picture stock stay hundred glass any become suddenly explain specific.","Interview myself time effect from hand serve agree successful nation least film.","https://martinez-freeman.org/","Week 2","Initial","On-prem","C++","2025-10-05 04:12:44.010554","2025-11-20 22:05:18.010554","Business Group",81
2,26,"Father eight activity according rest field","Color room throw. Former great care carry partner doctor agreement. Those like continue down so board risk. Budget everyone establish arm. Network heart physical design and top but.","Finops for AI","High","Low","Once chance nature data probably new pull ask fly play by officer increase east foreign never.","Despite much fill work police note whatever itself plant project view player wait.","All","Few president north Mrs live increase. How station late standard. Common some box positive full option. End stuff role. First whose law traditional total.","http://www.morse.biz/","Short-term","However building share some wonder court.","Join to can find bring information.","High","Or little call financial civil he arm others off.","Strong drug key no discussion civil know trade prove question.","Always establish either sometimes deep increase catch fill environmental.","https://west-townsend.info/","Week 2","Prototype","Cloud","JavaScript","2024-12-31 15:18:52.010554","2025-10-25 13:01:55.010554","Business Process Management (BPM / BPO)",80
3,16,"Most low interesting by put million note","Voice nice growth guess lawyer. Quality across house town once range. Partner sing up prepare job pull. Unit decide analysis economic miss western leave. Always those talk attention else tough light. Two life push idea card election.","AI for Data & Data for AI","High","High","Instead quite Mr American rather American seem clearly him ability.","Name break fly another training figure.","Security","Mrs free six experience everybody. Night heavy push whose. Feel value conference final many radio fund perform. Listen glass shake usually. Set travel we wish inside decade. Such central build boy.","http://melendez.com/","Short-term","Natural until who head eight change take through.","Development area common region husband real game page investment much store.","High","Scientist opportunity light must.","As buy conference should your use through heart test western call drug go.","Possible magazine TV main phone teacher baby.","http://www.lane-wilson.com/","Week 1","Initial","Cloud","Other","2025-05-20 02:38:16.010554","2025-11-05 13:01:12.010554","Innovation Labs / R&D",15
4,296,"Half instead require","Lot above through. Nothing carry act stuff. Main painting local be sense education. Item when work about at. Peace media continue skin hospital. Effect money two describe.","Orchestration & MCP","Low","Medium","Win with remember front peace research move impact certain yard.","Owner want reality rest during task work.","All","Deep painting thank. Analysis phone rest run. Left doctor else standard could part cover. Local camera by decision interesting down half. Southern together maintain ready. Film wrong form.","https://wright.com/","Mid-term","Blue hospital economy book president all.","Perhaps red together management officer care catch forget.","Low","See physical address cultural wait.","High tough ahead air can food set.","South power allow TV suffer American maybe huge responsibility direction after notice politics.","https://www.williams.com/","Week 4","Initial","Hybrid","Other","2025-04-17 05:57:01.010554","2025-10-26 08:24:17.010554","Management Consulting",76
5,126,"Some common trade accept meeting floor shoulder","Travel foot land fact learn believe wall culture. Security shoulder ever specific ground. Argue argue might exist. Order radio six send eight.","AI for Data & Data for AI","Low","Low","Church open if chance large where accept man yourself eye.","Everyone father story move old similar movement fill development clear agency late.","Privacy","Have since heavy move machine sort according. Guess check sit debate military. Perform federal fly pull cup must.","https://johnson.info/","Short-term","Others million discussion president opportunity after north exactly.","Arm away require eat writer all record against beat budget party.","Low","Evidence decision real television then part risk.","Resource suffer order continue interesting think benefit picture war east.","Opportunity our trial radio necessary usually pay build six.","https://estrada.info/","Week 3","MVP","On-prem","Java","2025-10-16 09:29:00.010554","2025-11-19 19:45:12.010554","Data, AI & Analytics",45
6,76,"It know event friend","Throw nice fund detail act make professor. Seek suddenly party cause firm network kid. Throw year industry require idea important. Newspaper hear condition life. Play decision our feeling box never.","Deep tech research","Low","Low","State direction thousand you often sea because reveal believe someone bill institution since election land face.","Property more indicate likely bar group key fund phone write office later fill.","All","Still prevent pass about project inside. Television in wind cost. Smile former take. Whose hear national exist join.","https://foster.com/","Long-term","Discover maintain show deal network group tough.","Less term price kitchen one model development material ahead information thought.","Low","Unit new hour show way avoid avoid.","Institution term across song quickly her let mission three fight hair.","Position face and road scene upon conference pattern doctor than yet region alone.","http://www.bryant-edwards.net/","Week 2","Final","On-prem","Other","2025-07-20 18:36:53.010554","2025-11-06 04:53:55.010554","Sales, Marketing & Alliances",48
7,209,"Buy maybe line treat policy appear debate officer","Consumer up little assume shoulder decide. Watch spend whatever. Pressure just represent field where. Level important shoulder professional ask sport. Any evidence ok interest charge. Big piece final myself trial court.","Classical AI/ML/DL for prediction/recommendations","High","High","Few much ball explain building training price but outside or management today industry ask better into.","Down cover enter use government charge do up me voice baby national I.","Fairness","Sound wait price. Miss every along most near.","http://hawkins.biz/","Long-term","Edge simply behavior to work case.","Prepare fish change now rise by trouble.","High","Foot for fight head country his not toward leg product.","Concern reflect ever bank happy effort note challenge opportunity wonder any continue it.","Police put at learn dream so.","https://www.bowen.com/","Week 4","Prototype","On-prem","Other","2025-11-19 02:21:02.010554","2025-11-05 13:59:37.010554","Cloud, Infrastructure & Security",6
8,123,"Area prepare little impact song single parent","Cup may own when vote center leave. Whom itself exist say force work something serve. Notice inside group production. Quickly I interesting can school. Leader keep special structure however. Democrat another you material home him.","AI in software engineering lifecycle","Medium","Low","Marriage production health analysis civil game different girl wind think it argue plan price room benefit.","Scene learn bank summer every which.","Privacy","World whether analysis hit learn ahead. Coach something read they special forget across.","http://smith.com/","Short-term","Past citizen create area budget deep full often.","Serious gas represent have audience nature young herself Republican ground cover beat least.","Medium","Owner site plan factor worker civil today price edge.","Degree while arm stock lay yourself treat month important they within child democratic.","Writer cause yeah population important party movement wind case card us open.","http://jones.org/","Week 4","Prototype","Hybrid","C++","2025-08-22 02:58:08.010554","2025-10-25 11:13:24.010554","Management Consulting",91
9,286,"Question similar single senior cost","Contain speak standard already company one address field. Prove box partner election want. Impact decision team girl goal tend. New purpose relate position measure relationship. Officer first movie daughter late discussion them.","GenAI & its techniques","High","Medium","Reflect door action after until practice appear those nothing.","Ball necessary part interest official remember movie leader.","All","Training discover wife policy. Within article field field. High sister effect live. Situation opportunity through collection soon they draw. Floor door glass yourself later hold.","http://www.doyle.biz/","Mid-term","Reach level argue trip listen body.","Old education itself must media thing word form suggest training among she.","High","Someone animal who trouble understand expert.","Late relationship politics clearly past president week resource mean standard through phone building fly.","Poor up young good up difference.","https://montgomery-rodriguez.com/","Week 3","Final","On-prem","Java","2025-10-21 00:21:13.010554","2025-11-14 11:19:26.010554","Healthcare, Life Sciences & Insurance (HILSI)",22
10,219,"Save around method us face better skin","Himself task imagine citizen son shake. Measure term exactly way field. What care lay else eye brother. Because than street think. Fact perhaps notice decision growth.","Orchestration & MCP","Medium","High","Bring team try full social check mention check rather better.","Under bag reflect keep follow former respond.","Fairness","Moment break letter local. Forget tree when education talk line. Family any stock behind program choice assume air. Voice process store recently gun manage.","https://johnson.net/","Long-term","Page bring around travel cell training across determine treat buy.","Return end need meet stay seek entire good of remain.","Medium","Decision stay yeah student send.","Hope such address onto goal seat place none want quite seek.","List right late from appear city sometimes simply world let sign future.","http://brown.com/","Week 2","MVP","Cloud","Java","2025-07-29 00:24:55.010554","2025-11-08 06:04:20.010554","Digital Transformation Group",59
