"id","idea_id","associate_id","is_primary","role","created_at","business_group"
"1","1","208","False","Developer","2025-09-08","Data, AI & Analytics"
"10","4","214","False","Project Manager","2023-09-10","Emerging Tech (Quantum / Blockchain / Metaverse / Web3)"
"100","37","297","False","Developer","2021-12-23","Sales, Marketing & Alliances"
"1000","323","220","False","Project Manager","2023-07-24","Business Group"
"10000","3287","169","False","Project Manager","2023-06-12","Healthcare, Life Sciences & Insurance (HILSI)"
"10001","3288","278","False","Developer","2024-04-23","Sales, Marketing & Alliances"
"10002","3288","155","False","Developer","2024-04-23","Public Sector & Government"
"10003","3288","95","False","Developer","2024-04-23","Retail, Consumer Goods & Logistics (RCL)"
"10004","3288","166","False","Project Manager","2024-04-23","Automation & AI Ops"
"10005","3288","31","False","Developer","2024-04-23","Education & EdTech"
"10006","3289","107","False","Developer","2021-02-23","Operations & Delivery Excellence"
"10007","3289","263","False","Project Manager","2021-02-23","Data, AI & Analytics"
"10008","3289","17","False","Developer","2021-02-23","Application Development & Maintenance (ADM)"
"10009","3290","229","False","Project Manager","2024-10-13","Energy, Utilities, Resources & Services (EURS)"
"1001","324","214","True","Developer","2024-03-05","Innovation Labs / R&D"
"10010","3290","173","False","Developer","2024-10-13","Retail, Consumer Goods & Logistics (RCL)"
"10011","3290","135","False","Developer","2024-10-13","Application Development & Maintenance (ADM)"
"10012","3290","274","False","Project Manager","2024-10-13","Automation & AI Ops"
"10013","3291","238","False","Project Manager","2020-07-28","Banking, Financial Services & Insurance (BFSI)"
"10014","3291","212","False","Project Manager","2020-07-28","Public Sector & Government"
"10015","3291","132","False","Developer","2020-07-28","Sales, Marketing & Alliances"
"10016","3292","205","False","Developer","2023-10-26","Management Consulting"
"10017","3293","188","False","Developer","2024-12-18","Data, AI & Analytics"
"10018","3294","120","False","Developer","2023-02-13","Operations & Delivery Excellence"
"10019","3294","81","False","Developer","2023-02-13","Digital Transformation Group"
"1002","324","88","False","Developer","2024-03-05","Healthcare, Life Sciences & Insurance (HILSI)"
"10020","3294","101","False","Project Manager","2023-02-13","Finance & Procurement"
"10021","3294","52","False","Developer","2023-02-13","Enterprise Architecture Group"
"10022","3295","112","False","Project Manager","2021-03-16","Emerging Tech (Quantum / Blockchain / Metaverse / Web3)"
"10023","3295","262","False","Developer","2021-03-16","Finance & Procurement"
"10024","3295","201","True","Project Manager","2021-03-16","Travel, Hospitality & Services (THS)"
"10025","3295","9","False","Project Manager","2021-03-16","Digital Transformation Group"
"10026","3295","167","False","Project Manager","2021-03-16","Retail, Consumer Goods & Logistics (RCL)"
"10027","3296","217","False","Project Manager","2024-03-03","Education & EdTech"
"10028","3297","128","False","Developer","2025-09-17","Enterprise Business Applications (SAP / Oracle / Salesforce / Workday)"
"10029","3297","291","False","Developer","2025-09-17","Cybersecurity & Zero Trust"
"1003","324","161","False","Developer","2024-03-05","Innovation Labs / R&D"
"10030","3297","156","False","Project Manager","2025-09-17","Emerging Tech (Quantum / Blockchain / Metaverse / Web3)"
"10031","3297","57","False","Developer","2025-09-17","Hi-Tech"
"10032","3298","94","False","Developer","2022-02-26","Healthcare, Life Sciences & Insurance (HILSI)"
"10033","3298","191","False","Developer","2022-02-26","Operations & Delivery Excellence"
"10034","3298","246","True","Project Manager","2022-02-26","Sales, Marketing & Alliances"
"10035","3298","256","True","Project Manager","2022-02-26","Enterprise Business Applications (SAP / Oracle / Salesforce / Workday)"
"10036","3298","76","False","Project Manager","2022-02-26","Education & EdTech"
"10037","3299","100","True","Developer","2023-02-02","Public Sector & Government"
"10038","3299","236","False","Project Manager","2023-02-02","Cloud, Infrastructure & Security"
"10039","3299","186","False","Developer","2023-02-02","Enterprise Business Applications (SAP / Oracle / Salesforce / Workday)"
"1004","324","193","False","Project Manager","2024-03-05","Enterprise Architecture Group"
"10040","3299","80","True","Developer","2023-02-02","Business Process Management (BPM / BPO)"
